base_symbol,quote_symbol,hedge_ratio,half_life,window,10th percentile,90th percentile
BTCUSDT,ZILUSDT,327313.28,8.0,16,7138.802949759997,13907.29025984
ETHUSDT,XMRUSDT,21.636,10.0,20,-2187.85552,-1410.78344
ETHUSDT,VETUSDT,45630.879,11.0,22,113.41133539399988,577.432863894
ETHUSDT,ZILUSDT,24673.689,8.0,16,228.581030928,908.330196932
ETHUSDT,FILUSDT,120.55,10.0,20,518.6731000000001,986.32723
ETHUSDT,KLAYUSDT,2233.786,13.0,26,657.0608776,1165.74338456
ETHUSDT,CKBUSDT,227078.271,10.0,20,381.86792767399993,812.9641099899998
BCHUSDT,TRXUSDT,28599.151,12.0,24,-1872.285833796,-1434.309666432
BCHUSDT,XMRUSDT,2.722,10.0,20,-331.49284,-217.40664000000004
BCHUSDT,VETUSDT,5723.612,9.0,18,-32.454173136000016,10.742342000000011
BCHUSDT,DOTUSDT,17.153,11.0,22,-12.90581,23.75973399999999
BCHUSDT,NEARUSDT,19.792,16.0,32,32.00176959999997,85.79184640000001
BCHUSDT,FILUSDT,15.049,8.0,16,17.73075200000001,65.74985000000002
BCHUSDT,XEMUSDT,3418.319,6.0,12,-35.66932076,3.3709249000000017
BCHUSDT,ONEUSDT,2007.17,9.0,18,64.58332948,98.10638506
BCHUSDT,ARUSDT,10.184,11.0,22,-14.28097599999993,39.785936000000014
BCHUSDT,KLAYUSDT,273.358,7.0,14,44.7662724,75.94993584
BCHUSDT,MINAUSDT,125.118,8.0,16,20.5896388,64.28798280000002
XRPUSDT,DOGEUSDT,6.564,15.0,30,-0.24071456,0.030479544
XRPUSDT,RVNUSDT,13.456,14.0,28,-0.1156662079999999,0.088650944
XRPUSDT,DGBUSDT,26.508,12.0,24,0.05379736,0.22990544
EOSUSDT,TRXUSDT,212.003,13.0,26,-13.829399496,-10.531297784
EOSUSDT,VETUSDT,38.008,10.0,20,0.0580951839999998,0.4042148480000003
EOSUSDT,THETAUSDT,0.649,11.0,22,0.2036607999999999,0.6052204000000002
EOSUSDT,ZILUSDT,20.201,8.0,16,0.1907672419999999,0.7283941400000006
EOSUSDT,WAVESUSDT,0.048,11.0,22,0.7298224,1.3294592
EOSUSDT,ICXUSDT,2.443,10.0,20,0.2962107999999999,0.6854461600000002
EOSUSDT,NEARUSDT,0.116,10.0,20,0.5639672,0.9772968
EOSUSDT,XEMUSDT,22.763,7.0,14,0.02609894,0.33366946
EOSUSDT,COTIUSDT,9.565,13.0,26,0.0322854999999999,0.4275403000000001
EOSUSDT,DGBUSDT,90.112,6.0,12,0.0827845119999999,0.419970752
EOSUSDT,IOTXUSDT,28.529,9.0,18,0.1468287980000001,0.5121062740000001
EOSUSDT,CELOUSDT,0.566,10.0,20,0.4695652,0.9042024000000002
EOSUSDT,ARUSDT,0.06,12.0,24,0.30932,0.7578000000000003
XLMUSDT,IOSTUSDT,5.807,6.0,12,0.0238109819999999,0.0467717459999999
XLMUSDT,ALGOUSDT,0.209,8.0,16,0.03334348,0.0497697
XLMUSDT,SOLUSDT,0.001,22.0,44,0.0636679999999999,0.09614
XLMUSDT,NEARUSDT,0.009,13.0,26,0.062058,0.08918
XLMUSDT,COTIUSDT,0.687,10.0,20,0.0257363599999999,0.0516341199999999
ADAUSDT,ZECUSDT,0.005,10.0,20,0.06168,0.1914199999999999
ADAUSDT,XTZUSDT,0.291,6.0,12,-0.0205809999999999,0.0654164
ADAUSDT,QTUMUSDT,0.137,9.0,18,-0.0422566,0.0702731999999999
ADAUSDT,IOSTUSDT,32.341,4.0,8,-0.012504034,0.06883349
ADAUSDT,THETAUSDT,0.282,11.0,22,0.0453224,0.1663011999999999
ADAUSDT,ALGOUSDT,1.196,10.0,20,-0.01547816,0.1141544
ADAUSDT,ZILUSDT,8.445,7.0,14,0.0742046499999999,0.18499184
ADAUSDT,WAVESUSDT,0.022,8.0,16,0.2506796,0.4405720000000002
ADAUSDT,DOTUSDT,0.047,11.0,22,0.0469124,0.141384
ADAUSDT,EGLDUSDT,0.005,12.0,24,0.0827399999999999,0.22595
ADAUSDT,SOLUSDT,0.008,11.0,22,0.122344,0.223624
ADAUSDT,KSMUSDT,0.005,8.0,16,0.13087,0.24235
ADAUSDT,NEARUSDT,0.051,14.0,28,0.1889211999999999,0.299293
ADAUSDT,FILUSDT,0.04,10.0,20,0.128208,0.2547
ADAUSDT,ZENUSDT,0.021,6.0,12,0.080328,0.170378
ADAUSDT,XEMUSDT,9.694,6.0,12,-0.0323300400000001,0.0709388799999999
ADAUSDT,IOTXUSDT,12.133,8.0,16,0.002073618,0.145520608
ADAUSDT,CELOUSDT,0.247,8.0,16,0.1462658,0.2771774
XMRUSDT,DASHUSDT,1.41,16.0,32,52.17240000000001,100.0744
XMRUSDT,ATOMUSDT,7.321,23.0,46,41.150940800000015,85.9914624
XMRUSDT,ONTUSDT,322.782,20.0,40,43.53052784000001,101.43089348000004
XMRUSDT,VETUSDT,2737.115,18.0,36,56.32321920000001,107.95141150000003
XMRUSDT,THETAUSDT,52.699,24.0,48,52.1451704,117.5360952
XMRUSDT,ZILUSDT,1417.713,11.0,22,69.024664,128.83522172800002
XMRUSDT,WAVESUSDT,4.798,19.0,38,92.50322,157.46655880000003
XMRUSDT,AVAXUSDT,1.519,14.0,28,91.492628,145.260296
XMRUSDT,FTMUSDT,114.101,15.0,30,88.66379416000001,133.67789128
XMRUSDT,NEARUSDT,9.109,16.0,32,88.72624739999999,142.4416726
XMRUSDT,FILUSDT,7.228,15.0,30,78.06107999999999,132.59585040000002
XMRUSDT,HBARUSDT,755.325,17.0,34,67.64598299999999,120.8533005
XMRUSDT,ONEUSDT,999.79,17.0,34,97.49276914,146.92250664
XMRUSDT,DGBUSDT,6469.671,12.0,24,56.863954188,106.18898775600002
XMRUSDT,CELOUSDT,44.116,15.0,30,77.43374800000001,133.80229599999998
XMRUSDT,ARUSDT,4.938,20.0,40,65.40308000000002,120.82978800000002
XMRUSDT,KLAYUSDT,134.611,14.0,28,84.9025592,137.79008384000002
