,id,name,symbol,slug,num_market_pairs,date_added,tags,max_supply,circulating_supply,total_supply,platform,cmc_rank,self_reported_circulating_supply,self_reported_market_cap,tvl_ratio,last_updated,quote
0,1,Bitcoin,BTC,bitcoin,9982,2013-04-28T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'store-of-value', 'state-channel', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'galaxy-digital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio']",21000000.0,19291800.0,19291800.0,,1,,,,2023-02-15T19:11:00.000Z,"{'USD': {'price': 23008.991007877852, 'volume_24h': 25388057867.211483, 'volume_change_24h': -4.225, 'percent_change_1h': 0.95754544, 'percent_change_24h': 4.11239663, 'percent_change_7d': 0.45221432, 'percent_change_30d': 7.90070763, 'percent_change_60d': 37.58386532, 'percent_change_90d': 38.05683597, 'market_cap': 443884852725.77795, 'market_cap_dominance': 42.0529, 'fully_diluted_market_cap': 483188811165.43, 'tvl': None, 'last_updated': '2023-02-15T19:11:00.000Z'}}"
1,1027,Ethereum,ETH,ethereum,6461,2015-08-07T00:00:00.000Z,"['pos', 'smart-contracts', 'ethereum-ecosystem', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'injective-ecosystem']",,122373866.2178,122373866.2178,,2,,,,2023-02-15T19:11:00.000Z,"{'USD': {'price': 1590.6722686259855, 'volume_24h': 7501863754.413054, 'volume_change_24h': -18.0482, 'percent_change_1h': 0.7069273, 'percent_change_24h': 2.70278818, 'percent_change_7d': -3.51022105, 'percent_change_30d': 0.42308435, 'percent_change_60d': 34.86129238, 'percent_change_90d': 31.685786, 'market_cap': 194656715397.20078, 'market_cap_dominance': 18.4419, 'fully_diluted_market_cap': 194656715397.2, 'tvl': None, 'last_updated': '2023-02-15T19:11:00.000Z'}}"
2,1839,BNB,BNB,bnb,1188,2017-07-25T00:00:00.000Z,"['marketplace', 'centralized-exchange', 'payments', 'smart-contracts', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'bnb-chain']",200000000.0,157898328.31397173,159979963.59042934,,4,,,,2023-02-15T19:11:00.000Z,"{'USD': {'price': 304.12356970290966, 'volume_24h': 514025472.5384624, 'volume_change_24h': -25.7069, 'percent_change_1h': 0.57059785, 'percent_change_24h': 2.50325923, 'percent_change_7d': -6.89980516, 'percent_change_30d': 0.87451006, 'percent_change_60d': 28.25746466, 'percent_change_90d': 13.37657827, 'market_cap': 48020603256.967094, 'market_cap_dominance': 4.5494, 'fully_diluted_market_cap': 60824713940.58, 'tvl': None, 'last_updated': '2023-02-15T19:11:00.000Z'}}"
3,52,XRP,XRP,xrp,886,2013-08-04T00:00:00.000Z,"['medium-of-exchange', 'enterprise-solutions', 'arrington-xrp-capital-portfolio', 'galaxy-digital-portfolio', 'a16z-portfolio', 'pantera-capital-portfolio']",100000000000.0,50799084881.0,99989130718.0,,6,,,,2023-02-15T19:11:00.000Z,"{'USD': {'price': 0.3888811411807148, 'volume_24h': 933641494.3273807, 'volume_change_24h': -6.552, 'percent_change_1h': 0.72739323, 'percent_change_24h': 2.91845166, 'percent_change_7d': -2.13138413, 'percent_change_30d': -0.55289839, 'percent_change_60d': 10.88295723, 'percent_change_90d': 2.97704605, 'market_cap': 19754806099.45928, 'market_cap_dominance': 1.8716, 'fully_diluted_market_cap': 38888114118.07, 'tvl': None, 'last_updated': '2023-02-15T19:11:00.000Z'}}"
4,2010,Cardano,ADA,cardano,649,2017-10-01T00:00:00.000Z,"['dpos', 'pos', 'platform', 'research', 'smart-contracts', 'staking', 'cardano-ecosystem', 'cardano']",45000000000.0,34634373516.08,35485065064.783,,8,,,,2023-02-15T19:11:00.000Z,"{'USD': {'price': 0.3910323698313613, 'volume_24h': 385794479.4072027, 'volume_change_24h': -10.6266, 'percent_change_1h': 0.65371814, 'percent_change_24h': 1.03465533, 'percent_change_7d': -0.37916588, 'percent_change_30d': 10.51993254, 'percent_change_60d': 47.51785734, 'percent_change_90d': 20.22261577, 'market_cap': 13543161153.6173, 'market_cap_dominance': 1.2831, 'fully_diluted_market_cap': 17596456642.41, 'tvl': None, 'last_updated': '2023-02-15T19:11:00.000Z'}}"
5,74,Dogecoin,DOGE,dogecoin,644,2013-12-15T00:00:00.000Z,"['mineable', 'pow', 'scrypt', 'medium-of-exchange', 'memes', 'payments', 'doggone-doggerel', 'bnb-chain']",,132670764299.89409,132670764299.89409,,9,,,,2023-02-15T19:11:00.000Z,"{'USD': {'price': 0.08672443790773615, 'volume_24h': 716278633.818604, 'volume_change_24h': 66.1471, 'percent_change_1h': 0.57706909, 'percent_change_24h': 4.17782202, 'percent_change_7d': -3.45102872, 'percent_change_30d': 2.3375335, 'percent_change_60d': 11.88852511, 'percent_change_90d': 2.54367206, 'market_cap': 11505797460.698063, 'market_cap_dominance': 1.0901, 'fully_diluted_market_cap': 11505797460.7, 'tvl': None, 'last_updated': '2023-02-15T19:11:00.000Z'}}"
6,3890,Polygon,MATIC,polygon,587,2019-04-28T00:00:00.000Z,"['platform', 'enterprise-solutions', 'zero-knowledge-proofs', 'scaling', 'state-channel', 'coinbase-ventures-portfolio', 'binance-launchpad', 'binance-labs-portfolio', 'polygon-ecosystem', 'moonriver-ecosystem', 'injective-ecosystem']",10000000000.0,8734317475.28493,10000000000.0,,10,,,,2023-02-15T19:11:00.000Z,"{'USD': {'price': 1.2793726254336282, 'volume_24h': 500130154.0630861, 'volume_change_24h': -31.1487, 'percent_change_1h': 0.67048824, 'percent_change_24h': 3.65413059, 'percent_change_7d': -2.60931087, 'percent_change_30d': 26.60156287, 'percent_change_60d': 59.4388083, 'percent_change_90d': 45.29651048, 'market_cap': 11174446679.726099, 'market_cap_dominance': 1.0584, 'fully_diluted_market_cap': 12793726254.34, 'tvl': None, 'last_updated': '2023-02-15T19:11:00.000Z'}}"
7,5426,Solana,SOL,solana,433,2020-04-10T00:00:00.000Z,"['pos', 'platform', 'solana-ecosystem', 'cms-holdings-portfolio', 'kenetic-capital-portfolio', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'okex-blockdream-ventures-portfolio']",,376439402.9314133,539312704.8875339,,11,,,,2023-02-15T19:11:00.000Z,"{'USD': {'price': 22.679433587038687, 'volume_24h': 554226038.3925203, 'volume_change_24h': -33.4756, 'percent_change_1h': 1.36955114, 'percent_change_24h': 3.82147744, 'percent_change_7d': -2.01588009, 'percent_change_30d': -4.12940646, 'percent_change_60d': 84.30891953, 'percent_change_90d': 67.64662787, 'market_cap': 8537432438.327484, 'market_cap_dominance': 0.8086, 'fully_diluted_market_cap': 12231306673.14, 'tvl': None, 'last_updated': '2023-02-15T19:11:00.000Z'}}"
8,6636,Polkadot,DOT,polkadot-new,467,2020-08-19T00:00:00.000Z,"['substrate', 'polkadot', 'binance-chain', 'polkadot-ecosystem', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'arrington-xrp-capital-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'coinfund-portfolio', 'fabric-ventures-portfolio', 'fenbushi-capital-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', '1confirmation-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'exnetwork-capital-portfolio', 'web3', 'spartan-group', 'injective-ecosystem', 'bnb-chain']",,1157215870.1015224,1283639540.4067023,,12,904869778.0,5730972510.704022,,2023-02-15T19:11:00.000Z,"{'USD': {'price': 6.333477645115939, 'volume_24h': 248549813.4628911, 'volume_change_24h': -4.25, 'percent_change_1h': 0.5515614, 'percent_change_24h': 1.90780635, 'percent_change_7d': -6.03279166, 'percent_change_30d': 8.10079906, 'percent_change_60d': 35.1553688, 'percent_change_90d': 11.21646463, 'market_cap': 7329200843.8613825, 'market_cap_dominance': 0.6944, 'fully_diluted_market_cap': 8129902333.55, 'tvl': None, 'last_updated': '2023-02-15T19:11:00.000Z'}}"
9,2,Litecoin,LTC,litecoin,873,2013-04-28T00:00:00.000Z,"['mineable', 'pow', 'scrypt', 'medium-of-exchange']",84000000.0,72287103.03913172,84000000.0,,14,,,,2023-02-15T19:11:00.000Z,"{'USD': {'price': 97.79348133068252, 'volume_24h': 571632366.716895, 'volume_change_24h': -2.1401, 'percent_change_1h': 0.45041194, 'percent_change_24h': 2.67855634, 'percent_change_7d': -1.30598149, 'percent_change_30d': 12.0764108, 'percent_change_60d': 52.89578723, 'percent_change_90d': 61.33730455, 'market_cap': 7069207461.506452, 'market_cap_dominance': 0.6697, 'fully_diluted_market_cap': 8214652431.78, 'tvl': None, 'last_updated': '2023-02-15T19:11:00.000Z'}}"
